linkedin_url,input_name,siren,website
https://www.linkedin.com/company/faurecia/,FAURECIA CLEAN  MOBILITY (groupe FORVIA),542005376,https://www.faurecia.com/
https://www.linkedin.com/company/prysmian/,PRYSMIAN GROUP,95750311,https://fr.prysmian.com/
https://www.linkedin.com/company/petit-bateau/,PETIT BATEAU,845114214,https://www.petit-bateau.fr/
https://www.linkedin.com/company/valeo/,VALEO VISION,950344333,https://www.valeo.com/fr/
https://www.linkedin.com/company/antolin/,GRUPO ANTOLIN BESANCON,328358734,https://www.antolin.com/
https://www.linkedin.com/company/lisi-automotive/,LISI AUTOMOTIVE DELLE,433709953,https://www.lisi-automotive.com/fr/
https://www.linkedin.com/company/pochet/,QUALIPAC AURILLAC (groupe Pochet),378928808,https://www.groupe-pochet.fr/nos-sites-dans-le-monde/qualipac-aurillac/
https://www.linkedin.com/company/ykk-france/,YKK FRANCE,672049178,https://www.ykk.fr/
https://www.linkedin.com/company/thuasne/,THUASNE,542091186,https://fr.thuasne.com/fr
https://www.linkedin.com/company/fysol-sas/,FYSOL SAS,910839844,https://www.fysol.com/
https://www.linkedin.com/company/gibaud/,GIBAUD,401407382,https://www.gibaud.com/
https://www.linkedin.com/company/sylektis/,SYLEKTIS,889369963,https://www.sylektis.com/E49D14E14:E54E14:E14:E33
https://www.linkedin.com/company/renaultgroup/,AUTO CHASSIS INTERNATIONAL (Renault Group),421242371,https://www.renaultgroup.com/groupe/implantations/usine-villeurbanne-aci-2/
https://www.linkedin.com/company/faurecia/,FAURECIA AUTOMOTIVE COMPOSITES,538295742,https://www.faurecia.com/
https://www.linkedin.com/showcase/vorwerk-france-recrute/,VORWERK FRANCE,622028777,https://www.vorwerk.com/fr/fr/c/vorwerk
https://www.linkedin.com/company/ynsect/,YNSECT,534948617,https://www.ynsect.com/fr/
https://www.linkedin.com/company/saint-gobain/,SAINT GOBAIN PLACO,950591735,https://www.placo.fr/
https://www.linkedin.com/company/saint-gobain-pam-canalisation/,SAINT GOBAIN PAM CANALISATION,815145347,https://www.pamline.fr/
https://www.linkedin.com/company/herta-france/,HERTA,311043194,https://www.herta.fr/
https://www.linkedin.com/company/siemens/,SIEMENS (Haguenau),562016774,https://www.siemens.com/fr/fr.html
https://www.linkedin.com/company/wienerbergerfr/,WIENERBERGER,562123513,https://www.wienerberger.fr/
https://www.linkedin.com/company/acome/,ACOME,562123513,https://www.acome.com/fr
https://www.linkedin.com/company/maisonm%C3%A9lanmoutet/,SOLOCAP-MAB,826250078,https://www.maisonmelanmoutet.com/fr/
https://www.linkedin.com/showcase/saint-gobain-life-sciences/,MS TECHNIQUES,385369657,https://www.medical.saint-gobain.com/medical-capabilities/precision-medical-extrusion/catheter-tubing
https://www.linkedin.com/company/clarios/,CLARIOS SAS Sarreguemines,440156578,https://www.clarios.com/
https://www.linkedin.com/company/groupegestra/,GESTRA,385399100,https://www.gestra.fr/
https://www.linkedin.com/company/hagergroup/,HAGER CONTROLS,451540744,https://hager.com/fr
https://www.linkedin.com/company/riva-acier-sas/,SAM SOCIETE DES ACIERS D'ARMATURE POUR LE BETON,389517061,https://www.rivaacier.com/fr/
https://www.linkedin.com/company/diagast/,DIAGAST,343445375,https://www.diagast.com/fr/
https://www.linkedin.com/company/lucas-france/,LUCAS FRANCE,513703389,https://www.lucas-robotic-system.com/
https://www.linkedin.com/company/borlis-solutions/,BORLIS,71200521,https://www.borlis-solutions.com/
https://www.linkedin.com/company/constellium/,CONSTELLIUM EXTRUSIONS France,662032374,https://www.constellium.com/
https://www.linkedin.com/company/thales,Thales,552059024,http://www.thalesgroup.com/
https://www.linkedin.com/company/arianespace_2,Arianespace,318516457,http://www.arianespace.com
https://www.linkedin.com/company/stelia-aerospace,Stelia Aerospace,330316381,https://www.stelia-aerospace.com/en/
https://www.linkedin.com/company/groupepsa,PSA Group,542065479,http://www.groupe-psa.com/
https://www.linkedin.com/company/automobiles-peugeot,Peugeot,552144503,http://www.peugeot.com
https://www.linkedin.com/company/bosch-rexroth,Bosch Rexroth,440233815,http://www.boschrexroth.com
https://www.linkedin.com/company/groupe-navtis,Navtis,340677921,http://www.navtis.fr/
https://www.linkedin.com/company/ocea-construction-navale,OcÃ©a,340889476,https://www.ocea.fr
https://www.linkedin.com/company/segula-technologies,Segula technologies,330581083,https://www.segulatechnologies.com
https://www.linkedin.com/company/latecoere,LatÃ©coÃ¨re,572050169,https://www.latecoere.aero
https://www.linkedin.com/company/lactalis,Lactalis,331142554,https://www.lactalis.com/
https://www.linkedin.com/company/nestle-s-a-,Nestle,542014428,http://www.nestle.com
https://www.linkedin.com/company/sodebo,Sodebo,547350249,https://www.sodebo.com/espace-recrutement
https://www.linkedin.com/company/herta-sas,Herta,311043194,https://www.herta.fr/
https://www.linkedin.com/company/safran,Safran,562082909,http://www.safran-group.com/
https://www.linkedin.com/company/danone,Danone,552032534,http://www.danone.com
https://www.linkedin.com/company/bledina,Bledina,301374922,http://www.bledina.com/
https://www.linkedin.com/company/iveco-group,Iveco,419683818,http://www.ivecogroup.com
https://www.linkedin.com/company/valeo,Valeo,552030967,http://www.valeo.com
https://www.linkedin.com/company/sillinger,Sillinger,431546233,http://www.sillinger.com
https://www.linkedin.com/company/airbusgroup,Airbus,383474814,http://www.airbus.com
https://www.linkedin.com/company/terrena,Terrena,429707292,http://www.terrena.fr
https://www.linkedin.com/company/renaultgroup,Renault,780129987,https://www.renaultgroup.com/en/
https://www.linkedin.com/company/legrand,Legrand,758501001,https://www.legrandgroup.com
https://www.linkedin.com/company/toyota,Toyota,712034040,http://www.toyota-global.com/
https://www.linkedin.com/company/michelin,Michelin,855200507,http://www.michelin.com
https://www.linkedin.com/company/totalenergies,Total Energy,442395448,http://www.totalenergies.com
https://www.linkedin.com/company/ge,General Electric,438813685,http://www.ge.com
https://www.linkedin.com/company/edf,EDF,552081317,https://www.edf.fr/edf-recrute
https://www.linkedin.com/company/kership,Kership,793430240,http://www.kership.com
https://www.linkedin.com/company/eiffageenergiesystemes,Eiffage Energie Systemes,420540643,https://www.eiffageenergiesystemes.com/carrieres/nos-offres?utm_source=linkedin&utm_medium=social_media&utm_campaign=ees_profil_linkedin_offre&utm_content=page_rh&utm_term=presentation
https://www.linkedin.com/company/paprec,Paprec,333050284,https://www.paprec.com
https://www.linkedin.com/company/ovhgroup,OVH,424761419,https://www.ovhcloud.com/en/
https://www.linkedin.com/company/laboratoire-boiron,Boiron,967504697,http://www.boiron.fr/
https://www.linkedin.com/company/saint-gobain,Saint Gobain,542039532,http://www.saint-gobain.com
https://www.linkedin.com/company/lalliard-bois-et-derives,Lalliard,605720465,http://www.lalliard.fr
https://www.linkedin.com/company/sokoa,Sokoa,712720374,http://www.sokoa.com
https://www.linkedin.com/company/arcelormittal,Arcelor Mittal,562094425,http://corporate.arcelormittal.com
https://www.linkedin.com/company/imagreen,Imagreen,522761139,http://www.imagreen.fr
https://www.linkedin.com/company/bio-habitat,Bio Habitat,511239915,https://www.mobilhome-biohabitat.com
https://www.linkedin.com/company/hermes-group,HermÃ¨s,572076396,http://www.hermes.com/employeur
https://www.linkedin.com/company/dassault-aviation,DASSAULT AVIATION,712042456,https://www.dassault-aviation.com
https://www.linkedin.com/company/enedis,ENEDIS,444608442,https://www.enedis.fr/
https://www.linkedin.com/company/asteelflash,Asteelflash,421842188,http://www.asteelflash.com
https://www.linkedin.com/company/lacroix-group,Lacroix,855802815,http://www.lacroix-group.com
https://www.linkedin.com/company/fountaine-pajot,Fountaine Pajot,307309898,http://www.fountaine-pajot.com
https://www.linkedin.com/company/naval-group,Naval Group,441133808,http://www.naval-group.com
https://www.linkedin.com/company/neopolia-officiel,NÃ©opolia,452124449,https://www.neopolia.fr
https://www.linkedin.com/company/asm-assembly-systems,ASM Assembly,484145545,https://smt.asmpt.com/
https://www.linkedin.com/company/eramet,Eramet,632045381,http://www.eramet.com
https://www.linkedin.com/company/sitco-groupe,Sitco Groupe,515184240,http://www.sitco.fr
https://www.linkedin.com/company/biomerieux,Biomerieux,673620399,https://www.biomerieux.com
https://www.linkedin.com/company/lvmh,LVMH,775670417,http://www.lvmh.com
https://www.linkedin.com/company/groupe-nicollin,Nicollin,477485635,http://www.groupenicollin.com/
https://www.linkedin.com/company/hutchinson,Hutchinson,314397696,https://www.hutchinson.com
https://www.linkedin.com/company/longchamp,Longchamp,737050187,http://www.longchamp.com
https://www.linkedin.com/company/spie_2,Spie,532712825,http://www.spie.com
https://www.linkedin.com/company/arkema,Arkema,319632790,http://www.arkema.com
https://www.linkedin.com/company/endel-engie,Engie,542107651,http://www.endel-engie.fr
https://www.linkedin.com/company/stmicroelectronics,ST Microelectronics,341459386,https://www.st.com?src=linkedin
https://www.linkedin.com/company/axens,Axens,599815073,http://www.axens.net
https://www.linkedin.com/company/spie-nucleaire,Spie NuclÃ©aire,662049287,http://www.spie.com/fr/spie-nuclÃ©aire
https://www.linkedin.com/company/haulotte-group,Haulotte,332822485,http://www.haulotte.com
https://www.linkedin.com/company/corys,Corys,413851924,https://www.corys.com
https://www.linkedin.com/company/alstom,Alstom,389058447,http://www.alstom.com
https://www.linkedin.com/company/lorÃƒÂ©al,L'Oreal,632012100,http://www.loreal.com
https://www.linkedin.com/company/mecalac,Mecalac,422483214,https://www.mecalac.com/
https://www.linkedin.com/company/areva,Orano,305207169,http://www.orano.group
https://www.linkedin.com/company/siat-braun,Groupe SIAT,675880041,http://www.groupesiat.fr
https://www.linkedin.com/company/lacoste,Lacoste,307258301,https://corporate.lacoste.com/
https://www.linkedin.com/company/vinci-energies,Vinci Energie,391635844,http://www.vinci-energies.com
https://www.linkedin.com/company/chantiers-atlantique,Chantiers de l'Atlantique,439067612,http://chantiers-atlantique.com
https://www.linkedin.com/company/naval-energies,Naval Energies,790256671,https://www.naval-energies.com/fr/
https://www.linkedin.com/company/socomec,Socomec,548500149,http://www.socomec.com
https://www.linkedin.com/company/airliquide,Air Liquide,314119504,http://www.airliquide.com
https://www.linkedin.com/company/bouygues-construction,Bouygues,433900834,http://www.bouygues-construction.com/
https://www.linkedin.com/company/runeo,Runeo,817502453,https://www.runeo.re/
https://www.linkedin.com/company/veolia-environnement,Veolia,403210032,http://www.veolia.com/en/
https://www.linkedin.com/company/sanofi,Sanofi,395030844,http://www.sanofi.com
https://www.linkedin.com/company/manitougroup,Manitou Group,857802508,http://www.manitou-group.com
https://www.linkedin.com/company/suez,Suez,775690035,http://www.suez.com
https://www.linkedin.com/company/association-amorce,Amorce,751372608,http://www.amorce.asso.fr
https://www.linkedin.com/company/sncf,SNCF,552049447,http://www.sncf.com
https://www.linkedin.com/company/alsapan,Alsapan,392213146,http://www.alsapan.com
https://www.linkedin.com/company/eiffage-metal,Eiffage Metal,333916385,https://www.eiffagemetal.com/
